batch_size,prompt_len,gen_len,num_requests,wall_clock_s,reported_tok_s,generation_goodput_method1,generation_goodput_method2,preempted_seqs,kv_cache_util
4,3584,512,4,28.98,565.4,70.67,70.67,0,0.16
8,3584,512,8,36.3,902.6,112.84,112.83,0,0.31
16,3584,512,16,49.97,1311.4,163.94,163.93,0,0.62
24,3584,512,24,61.16,1607.4,200.92,200.93,0,0.93
32,3584,512,32,94.71,1384.0,172.99,173.0,7,0.97
48,3584,512,48,151.41,1298.5,162.31,162.31,23,0.97
